mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: 2zO9Wlaynzrq4|5-2) should print 10 examples: 3vhyvN8kg2NfZ|6-3) should print 10 examples: _h-OdlZHB2XAX|7-4) should print 10 examples: rtVHFFb8QPv1k|8-5) should print 10 examples: Z5TuS4RxbtAh4|9-6) should print 10 examples: Ug_fMJ_mZqXjG|10-7) should print 10 examples: 3S8b6-AYKoyzC|11-8) should print 10 examples: JFDetUS9dpvna|12-9) should print 10 examples: 7YUl8lMLiqP3n|13-10) should print 10 examples: YAoauHkVbEOdb|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (160ms)
MUTANT 303|4886ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 304|4899ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 305|4358ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 306|4272ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 307|4111ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 308|688ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 310|4613ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 311|4895ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 313|4756ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 314|4728ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 312|11163ms|0|0|0|0|0|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 315|4831ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 316|4761ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 317|4850ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 318|4765ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 319|4595ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 320|4553ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 321|4530ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 322|4563ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 323|4580ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 324|4579ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 325|4534ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 326|4686ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 327|4654ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 329|4515ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 330|4440ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 333|1211ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 331|4572ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 334|1295ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 332|4287ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 328|10835ms|0|0|0|0|0|1|1|1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 335|4678ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 336|4506ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 337|4570ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 338|4547ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 339|3263ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 340|2930ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 341|3437ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 343|3457ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 342|3478ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 345|4332ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 347|4390ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 344|4412ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 346|5045ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 351|1307ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 349|4513ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 350|4511ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 348|4656ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 354|1331ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 355|1349ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 352|4476ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 353|3479ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 356|2750ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
