mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: ByMj3aXYt|5-2) should print 10 examples: B1xfi2aXtY|6-3) should print 10 examples: By-fsnpQFt|7-4) should print 10 examples: rkGzjhp7Ft|8-5) should print 10 examples: ByXzinp7FK|9-6) should print 10 examples: r14zs2aQtt|10-7) should print 10 examples: HJHzi367Yt|11-8) should print 10 examples: S1IMo2p7Kt|12-9) should print 10 examples: SkDMo2pXYK|13-10) should print 10 examples: HkdGina7tF|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (155ms)|17-should decode worker
MUTANT 173|1993ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 174|1875ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 175|1797ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1
MUTANT 176|1304ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0
MUTANT 177|1066ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 180|1813ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 181|1841ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 178|1907ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 179|2037ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 182|1860ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 183|1914ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 184|1913ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 185|2036ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 186|1977ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 187|1926ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 188|1939ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 189|1922ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 191|1856ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 190|1971ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 192|1954ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 193|1910ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 194|1889ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 195|1957ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 196|1973ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 197|1921ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 200|1548ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 198|1956ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 199|1920ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 201|2009ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 202|2009ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 203|1931ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 204|1916ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 205|2022ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 208|1505ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 206|1922ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 207|1890ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 209|1929ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 210|1726ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 211|1616ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 212|1624ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 213|1807ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 216|1801ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 215|1956ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 217|1359ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 218|1832ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 219|1915ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 220|1577ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 222|1998ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 224|1793ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1
MUTANT 223|1871ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 225|1948ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 226|1887ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 227|1979ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 228|2146ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 229|1987ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 230|1986ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 231|2045ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 232|1484ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 234|1985ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 235|1936ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 236|1943ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1
MUTANT 238|1935ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 237|2101ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0
MUTANT 239|1824ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1
MUTANT 240|1478ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 241|1596ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|0
MUTANT 244|1386ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 245|1374ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 246|1437ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 247|1516ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
