mutant-id|timeToExecute|0-should create a unique random alphabet with each seed|1-should return the same alphabet with a single seed|2-should shuffle into a 64-character string of unique characters|3-should work with custom alphabets|4-1) should print 10 examples: FrKbkIGrdbNCx|5-2) should print 10 examples: cZmMrTA4m6_x-|6-3) should print 10 examples: wEVNUFzvTYzki|7-4) should print 10 examples: shssIMR0F9zQh|8-5) should print 10 examples: p-dylfAo_BW3-|9-6) should print 10 examples: n2LvdS61jzwYm|10-7) should print 10 examples: NwwL_26A82p28|11-8) should print 10 examples: UQR3nfKTvKwu5|12-9) should print 10 examples: VnYSR2RtjtCsR|13-10) should print 10 examples: WFtQi0bwgC-rv|14-should find these valid|15-should find these invalid|16-should run a bunch and never get duplicates (132ms)
MUTANT 29|4571ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 30|4595ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 32|4408ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 31|4518ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 33|4490ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 34|4562ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 37|1420ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 38|1271ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 35|4530ms|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 36|4588ms|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 39|4431ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 40|4469ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 41|4672ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 42|4880ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 43|4694ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 44|4711ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 45|4523ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 46|4565ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 49|4218ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 50|4182ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 51|3961ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 52|3877ms|1|1|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 53|4194ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 54|4720ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 55|4314ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 56|4249ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 58|1277ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 59|1359ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 61|1287ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 62|1248ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 63|1192ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 57|4637ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 65|1263ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 66|1278ms|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2|-2
MUTANT 60|4338ms|0|0|0|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 64|4283ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 67|4235ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 68|4181ms|0|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 69|4625ms|0|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 70|4453ms|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|1|1
MUTANT 72|4355ms|1|1|0|1|0|1|1|0|-1|-1|-1|-1|-1|-1|-1|-1|-1
MUTANT 71|4547ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 73|4546ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 74|4479ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 75|4473ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 76|4574ms|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 77|4647ms|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 78|4499ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 79|4506ms|1|1|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1
MUTANT 80|4515ms|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
