mutant-id|timeToExecute|0-sha1 node|1-sha1 browser|2-v5|3-uuids with current time|4-uuids with time option|5-msec|6-exception thrown when > 10k ids created in 1ms|7-clock regression by msec|8-clock regression by nsec|9-explicit options product expected id|10-ids spanning 1ms boundary are 100ns apart
MUTANT 230|1347ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 232|1359ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 233|1358ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 234|1401ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 235|1435ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 236|1355ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 237|1350ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 238|1308ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 239|1325ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 240|1359ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 241|1299ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 242|1302ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 243|1370ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 244|1394ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 245|1332ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 246|1333ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 247|1375ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 248|1375ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 249|1360ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 250|1378ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 251|1386ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 252|1359ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 253|1347ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 254|1365ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 255|1405ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 256|1374ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 257|1338ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 258|1338ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 259|1424ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 260|1369ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 261|1366ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 262|1326ms|1|0|1|1|1|1|1|1|1|1|1
MUTANT 263|1417ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 265|1312ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 266|1312ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 267|1306ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 269|1226ms|1|0|0|1|1|1|1|1|1|1|1
MUTANT 268|1256ms|1|0|0|1|1|1|1|1|1|1|1
