mutant-id|timeToExecute|0-passes a basic sanity check|1-allows namespaces to be a non-string value|2-honors global debug namespace enable calls|3-uses custom log function|4-should extend namespace|5-should extend namespace with custom delimiter|6-should extend namespace with empty delimiter
MUTANT 342|1395ms|1|1|1|1|1|1|1
MUTANT 343|1368ms|1|1|1|1|1|1|1
MUTANT 344|1413ms|1|1|1|1|1|1|1
MUTANT 345|1375ms|1|1|1|1|1|1|1
MUTANT 346|1410ms|1|1|1|1|1|1|1
MUTANT 347|1425ms|1|1|1|1|1|1|1
MUTANT 348|1480ms|1|1|1|1|1|1|1
MUTANT 349|1405ms|1|1|1|1|1|1|1
MUTANT 350|1410ms|1|1|1|1|1|1|1
MUTANT 351|1501ms|1|1|1|1|1|1|1
MUTANT 352|1446ms|1|1|1|1|1|1|1
MUTANT 353|1393ms|1|1|1|1|1|1|1
MUTANT 354|1474ms|1|1|1|1|1|1|1
MUTANT 355|1429ms|1|1|1|1|1|1|1
MUTANT 356|1384ms|1|1|1|1|1|1|1
MUTANT 357|1599ms|1|1|1|1|1|1|1
MUTANT 358|1665ms|1|1|1|1|1|1|1
MUTANT 359|1621ms|1|1|1|1|1|1|1
MUTANT 360|1526ms|1|1|1|1|1|1|1
MUTANT 361|1516ms|1|1|1|1|1|1|1
MUTANT 362|1477ms|1|1|1|1|1|1|1
MUTANT 363|1438ms|1|1|1|1|1|1|1
MUTANT 364|1399ms|1|1|1|1|1|1|1
MUTANT 365|1451ms|1|1|1|1|1|1|1
MUTANT 367|1389ms|1|1|1|1|1|1|1
MUTANT 366|1452ms|1|1|1|1|1|1|1
MUTANT 368|1494ms|1|1|1|1|1|1|1
MUTANT 369|1484ms|1|1|1|1|1|1|1
MUTANT 370|1423ms|1|1|1|1|1|1|1
MUTANT 371|1410ms|1|1|1|1|1|1|1
MUTANT 372|1360ms|1|1|1|1|1|1|1
MUTANT 373|1410ms|1|1|1|1|1|1|1
MUTANT 374|1385ms|1|1|1|1|1|1|1
MUTANT 375|1352ms|1|1|1|1|1|1|1
MUTANT 376|1426ms|1|1|1|1|1|1|1
MUTANT 378|1300ms|1|1|1|1|1|1|1
MUTANT 377|1374ms|1|1|1|1|1|1|1
MUTANT 379|1370ms|1|1|1|1|1|1|1
MUTANT 380|1483ms|1|1|1|1|1|1|1
MUTANT 382|1413ms|1|1|1|1|1|1|1
MUTANT 383|1356ms|1|1|1|1|1|1|1
MUTANT 381|1522ms|1|1|1|1|1|1|1
MUTANT 384|1410ms|1|1|1|1|1|1|1
MUTANT 386|1375ms|1|1|1|1|1|1|1
MUTANT 385|1455ms|1|1|1|1|1|1|1
MUTANT 387|1511ms|1|1|1|1|1|1|1
MUTANT 388|1457ms|1|1|1|1|1|1|1
MUTANT 389|1448ms|1|1|1|1|1|1|1
MUTANT 390|1389ms|1|1|1|1|1|1|1
MUTANT 391|1410ms|1|1|1|1|1|1|1
MUTANT 392|1493ms|1|1|1|1|1|1|1
MUTANT 394|1351ms|1|1|1|1|1|1|1
MUTANT 393|1377ms|1|1|1|1|1|1|1
MUTANT 395|1467ms|1|1|1|1|1|1|1
MUTANT 396|1385ms|1|1|1|1|1|1|1
MUTANT 398|1348ms|1|1|1|1|1|1|1
MUTANT 397|1391ms|1|1|1|1|1|1|1
MUTANT 399|1405ms|1|1|1|1|1|1|1
MUTANT 400|1428ms|1|1|1|1|1|1|1
MUTANT 401|1386ms|1|1|1|1|1|1|1
MUTANT 402|1418ms|1|1|1|1|1|1|1
MUTANT 403|1462ms|1|1|1|1|1|1|1
MUTANT 404|1489ms|1|1|1|1|1|1|1
MUTANT 405|1428ms|1|1|1|1|1|1|1
MUTANT 406|1467ms|1|1|1|1|1|1|1
MUTANT 407|1430ms|1|1|1|1|1|1|1
MUTANT 408|1400ms|1|1|1|1|1|1|1
MUTANT 409|1400ms|1|1|1|1|1|1|1
MUTANT 410|1348ms|1|1|1|1|1|1|1
MUTANT 411|1389ms|1|1|1|1|1|1|1
MUTANT 412|1469ms|1|1|1|1|1|1|1
MUTANT 413|1401ms|1|1|1|1|1|1|1
MUTANT 414|1430ms|1|1|1|1|1|1|1
MUTANT 415|1383ms|1|1|1|1|1|1|1
MUTANT 416|1487ms|1|1|1|1|1|1|1
MUTANT 417|1402ms|1|1|1|1|1|1|1
MUTANT 418|1432ms|1|1|1|1|1|1|1
MUTANT 419|1431ms|1|1|1|1|1|1|1
MUTANT 420|1425ms|1|1|1|1|1|1|1
